seed,sequence,size,profile,steps,iters,bodyJostle,grip,armed,armedA,armedB,firstArming,completeTime,meanBend,meanArmed
53,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.1783548381383575,0
54,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.111199764817826,0
53,AAAABBBB,1.2,opposed20,50000,4,true,true,4,0,4,182,,19.426266017999062,3.726
55,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.19887194722625,0
54,AAAABBBB,1.2,opposed20,50000,4,true,true,2,0,2,3465,,18.604372225013986,1.842
55,AAAABBBB,1.2,opposed20,50000,4,true,true,4,0,4,13107,,20.031340958028004,2.538
56,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.572375396581556,0
56,AAAABBBB,1.2,opposed20,50000,4,true,true,4,0,4,3304,,19.250146948756807,3.054
57,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.468702979070601,0
58,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.295135909730828,0
57,AAAABBBB,1.2,opposed20,50000,4,true,true,4,0,4,3377,,19.213398615083452,3.018
58,AAAABBBB,1.2,opposed20,50000,4,true,true,2,0,2,509,,19.686325072732302,1.952
59,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,4.8072507357861305,0
59,AAAABBBB,1.2,opposed20,50000,4,true,true,4,0,4,4897,,19.08259028205049,3.026
60,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.483998510782633,0
60,AAAABBBB,1.2,opposed20,50000,4,true,true,5,1,4,1278,,19.36138957298748,3.368
