seed,sequence,size,profile,steps,iters,bodyJostle,grip,armed,armedA,armedB,firstArming,completeTime,meanBend,meanArmed
51,AAAABBBB,0.5,square,50000,4,true,true,0,0,0,,,1.21588521182217,0
51,AAAABBBB,0.5,opposed20,50000,4,true,true,0,0,0,,,17.35637566058014,0
51,AAAABBBB,0.5,opposed40,50000,4,true,true,4,0,4,344,,35.64490226010351,3.82
51,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.2504560630932575,0
51,AABBAABB,0.5,square,50000,4,true,true,0,0,0,,,1.2296284600418879,0
51,AABBAABB,0.5,opposed20,50000,4,true,true,0,0,0,,,11.987841333544457,0
51,AAAABBBB,1.2,opposed20,50000,4,true,true,4,0,4,699,,18.489569005029292,3.19
51,AAAABBBB,1.2,opposed40,50000,4,true,true,5,1,4,288,,35.46935934478419,3.768
51,AABBAABB,0.5,opposed40,50000,4,true,true,4,0,4,7227,,23.40445222644216,2.788
51,AABBAABB,1.2,square,50000,4,true,true,0,0,0,,,5.312393897049698,0
51,AABBAABB,1.2,opposed20,50000,4,true,true,0,0,0,,,13.797391098754876,0
51,AABBAABB,1.2,opposed40,50000,4,true,true,5,3,2,10364,,25.042685179304524,2.634
51,ABABABAB,0.5,square,50000,4,true,true,0,0,0,,,1.271447708529888,0
51,ABABABAB,0.5,opposed20,50000,4,true,true,0,0,0,,,1.220937659869606,0
51,ABABABAB,0.5,opposed40,50000,4,true,true,0,0,0,,,1.1972986446979892,0
51,ABABABAB,1.2,square,50000,4,true,true,0,0,0,,,5.259232875764197,0
51,ABABABAB,1.2,opposed20,50000,4,true,true,0,0,0,,,5.125832581536439,0
52,AAAABBBB,0.5,square,50000,4,true,true,0,0,0,,,1.30628530854482,0
51,ABABABAB,1.2,opposed40,50000,4,true,true,2,2,0,6167,,4.839840281514426,1.134
52,AAAABBBB,0.5,opposed20,50000,4,true,true,0,0,0,,,17.320292805424135,0
52,AAAABBBB,0.5,opposed40,50000,4,true,true,4,0,4,1173,,35.542771988009605,3.84
52,AAAABBBB,1.2,square,50000,4,true,true,0,0,0,,,5.267498016199149,0
52,AAAABBBB,1.2,opposed20,50000,4,true,true,3,0,3,18240,,18.307073407159,1.11
52,AAAABBBB,1.2,opposed40,50000,4,true,true,5,1,4,132,,36.10803347753038,4.26
52,AABBAABB,0.5,square,50000,4,true,true,0,0,0,,,1.2431762320797117,0
52,AABBAABB,0.5,opposed20,50000,4,true,true,0,0,0,,,11.989783503253847,0
52,AABBAABB,0.5,opposed40,50000,4,true,true,4,0,4,598,,23.448634174282628,3.526
52,AABBAABB,1.2,square,50000,4,true,true,0,0,0,,,5.206488094334577,0
52,AABBAABB,1.2,opposed20,50000,4,true,true,0,0,0,,,13.803699152677257,0
52,ABABABAB,0.5,square,50000,4,true,true,0,0,0,,,1.2249444460180552,0
52,AABBAABB,1.2,opposed40,50000,4,true,true,4,2,2,10045,,25.68297456457191,1.784
52,ABABABAB,0.5,opposed20,50000,4,true,true,0,0,0,,,1.2183390911798986,0
52,ABABABAB,0.5,opposed40,50000,4,true,true,0,0,0,,,1.2043017628820656,0
52,ABABABAB,1.2,square,50000,4,true,true,0,0,0,,,5.337795484084513,0
52,ABABABAB,1.2,opposed20,50000,4,true,true,0,0,0,,,5.045089966282152,0
52,ABABABAB,1.2,opposed40,50000,4,true,true,0,0,0,,,4.689949424702694,0
