t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,782,2,0,16,1,2,5,5,1,0,2,2,296,12,69,0,0,0,2,55
10000,740,9,2,49,3,6,3.333,4,3,1.585,8,3,297,52,225,0,8,0,10,169
15000,605,21,9,165,22,19,3.682,6,9,2.423,41,6,279,184,805,13,18,0,28,606
20000,405,38,16,341,60,33,3.083,7,14,3.162,108,7,262,431,2198,35,58,0,95,1762
25000,241,57,7,495,86,49,3.151,8,21,3.536,191,8,270,715,4269,62,114,0,203,3589
30000,207,57,8,528,105,48,2.857,7,21,3.459,268,8,279,933,6385,83,149,0,351,5510
35000,202,42,11,545,113,41,3.097,7,22,3.722,337,10,277,1161,8371,115,200,0,514,7321
40000,172,50,9,569,119,48,3.008,7,25,3.805,403,11,272,1384,10505,149,251,0,674,9275
45000,196,47,3,554,122,42,2.975,7,25,3.68,466,11,277,1589,12648,174,286,0,840,11252
50000,195,52,5,548,120,44,2.9,7,21,3.473,533,11,283,1795,14839,204,325,0,1004,13259
55000,196,39,7,558,136,39,2.816,6,21,3.546,615,11,280,2025,17120,235,369,0,1178,15355
60000,188,29,14,569,149,29,2.96,6,28,3.813,699,11,271,2260,19388,267,423,0,1345,17441
65000,193,55,14,538,113,50,2.956,7,28,3.838,780,11,281,2493,21608,298,490,0,1544,19463
70000,176,49,6,569,131,42,2.969,7,27,3.901,870,13,279,2756,23560,331,554,0,1723,21225
75000,186,43,8,563,122,41,3.074,7,27,4.026,940,13,283,2976,25575,360,611,0,1889,23076
80000,172,46,13,569,132,45,2.841,6,23,3.719,1018,13,277,3215,27625,395,662,0,2080,24922
85000,192,45,7,556,126,43,3,7,29,4.061,1094,14,275,3446,29742,420,729,0,2266,26873
90000,205,56,5,534,105,52,2.8,7,20,3.577,1161,15,280,3666,31807,442,780,0,2447,28752
95000,158,54,10,578,128,46,2.953,6,24,3.863,1236,15,280,3897,33865,494,823,0,2593,30616
100000,157,51,8,584,134,45,2.881,7,26,3.617,1315,15,281,4128,36007,522,873,0,2766,32576
