t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,656,18,1,125,13,14,2.308,6,2,0.391,21,5,293,85,488,0,0,0,0,384
10000,442,35,11,312,67,23,2.269,12,3,0.305,84,8,270,272,1867,0,0,0,0,1549
15000,232,33,9,526,143,24,2.252,6,2,0.339,161,10,284,486,3998,0,0,0,0,3470
20000,122,38,0,640,169,35,2.521,12,3,0.529,198,10,296,600,6005,0,0,0,0,5367
25000,83,34,0,683,191,29,2.398,12,3,0.461,214,10,296,643,7431,0,0,0,0,6754
30000,51,35,1,713,203,28,2.325,12,3,0.406,225,10,299,673,8459,0,0,0,0,7750
35000,41,29,0,730,213,23,2.488,12,3,0.54,230,10,300,690,9186,0,0,0,0,8467
40000,30,22,0,748,224,17,2.527,12,3,0.564,235,10,298,708,9762,0,0,0,0,9032
45000,17,24,0,759,224,19,2.545,12,3,0.578,237,10,300,719,10131,0,0,0,0,9388
50000,13,24,0,763,225,19,2.542,12,3,0.576,238,10,300,723,10392,0,0,0,0,9645
55000,7,25,1,767,225,20,2.542,12,3,0.576,239,10,299,727,10632,0,0,0,0,9879
60000,9,23,0,768,227,18,2.537,12,3,0.573,239,10,300,728,10803,0,0,0,0,10052
65000,9,22,0,769,228,17,2.535,12,3,0.571,239,10,300,729,10971,0,0,0,0,10220
70000,8,23,0,769,227,18,2.537,12,3,0.573,239,10,300,729,11096,0,0,0,0,10344
75000,6,24,0,770,226,19,2.522,12,3,0.56,239,10,300,730,11262,0,0,0,0,10508
80000,6,24,0,770,226,19,2.522,12,3,0.56,239,10,300,730,11397,0,0,0,0,10643
85000,6,20,0,774,232,15,2.595,12,3,0.616,241,10,300,734,11502,0,0,0,0,10748
90000,3,22,0,775,230,17,2.6,12,3,0.62,241,10,300,735,11592,0,0,0,0,10835
