t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,770,3,1,26,4,2,4,6,2,1,0,0,299,2,339,0,0,0,0,333
10000,740,4,1,55,7,4,4.545,6,2,0.946,5,1,294,31,766,0,0,0,0,730
15000,686,6,4,104,12,6,5.111,6,2,0.764,12,2,290,80,1300,0,0,0,0,1210
20000,638,12,0,150,15,11,5.385,6,2,0.619,20,3,294,126,2425,0,0,0,0,2287
25000,582,16,0,202,17,15,5.5,6,2,0.544,26,3,296,178,3637,0,0,0,0,3443
30000,506,13,4,277,34,12,5.652,6,2,0.426,40,4,294,253,5297,0,0,0,0,5027
35000,434,17,3,346,40,16,5.643,6,2,0.434,50,4,293,322,7360,0,0,0,0,7018
40000,328,25,0,447,51,21,5.667,6,2,0.414,66,5,293,423,9570,0,0,0,0,9122
45000,255,21,1,523,69,18,5.632,6,2,0.443,81,5,291,499,11699,0,0,0,0,11178
50000,218,18,2,562,77,17,5.66,6,2,0.42,88,5,295,538,13858,0,0,0,0,13300
55000,166,26,1,607,76,23,5.677,6,2,0.405,93,5,295,583,15764,0,0,0,0,15154
60000,131,28,1,640,79,26,5.695,6,2,0.389,99,6,300,616,17395,0,0,0,0,16750
65000,107,21,2,670,88,21,5.706,6,2,0.378,103,6,297,646,18781,0,0,0,0,18112
70000,85,16,0,699,100,15,5.722,6,2,0.364,109,6,299,675,19847,0,0,0,0,19156
75000,63,16,0,721,104,16,5.733,6,2,0.353,114,6,299,697,20848,0,0,0,0,20135
80000,55,15,0,730,108,14,5.738,6,2,0.349,116,6,299,706,21709,0,0,0,0,20988
85000,46,14,0,740,110,14,5.742,6,2,0.345,118,6,297,716,22512,0,0,0,0,21782
90000,43,13,0,744,112,13,5.744,6,2,0.343,119,6,300,720,23198,0,0,0,0,22465
95000,41,11,0,748,115,11,5.746,6,2,0.341,120,6,299,724,23783,0,0,0,0,23048
100000,36,10,1,753,117,10,5.748,6,2,0.339,121,6,300,729,24319,0,0,0,0,23579
