t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,300,5,15,32,8,4,3.25,6,5,2.23,20,4,33,53,1104,6,2,0,14,32,0,1028,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,268,3,26,55,22,2,3.375,6,7,2.468,47,5,36,124,3027,7,4,0,36,68,0,2869,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,258,8,11,75,22,5,2.889,7,8,2.625,94,6,36,236,6308,15,7,0,89,150,0,6006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,229,8,32,83,31,7,2.947,6,8,2.453,150,7,33,350,9986,27,9,0,140,241,0,9517,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,226,7,45,74,31,7,2.921,5,10,2.856,199,9,29,468,14042,44,13,0,195,344,0,13415,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,206,8,34,104,37,8,2.911,5,12,3.14,247,10,25,583,18126,59,19,0,242,424,0,17359,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,189,8,34,121,46,8,2.796,4,11,2.595,311,11,28,713,22943,69,22,0,308,524,0,21994,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,158,6,39,149,63,6,2.696,4,9,2.413,383,11,28,852,27951,84,22,0,371,627,0,26804,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,201,6,38,107,48,6,2.63,4,7,2.264,439,13,22,961,33055,91,25,0,445,749,0,31760,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,207,5,25,115,47,5,2.615,4,7,2.329,496,13,24,1075,38439,105,27,0,507,839,0,36996,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,212,6,40,94,39,6,2.889,4,9,2.593,548,15,37,1178,43263,126,31,0,571,932,0,41670,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,213,5,41,93,38,5,3.023,4,8,2.586,593,15,36,1284,47716,142,32,0,619,1021,0,45983,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,168,10,42,132,48,10,2.845,4,7,2.415,650,17,24,1438,52148,154,35,0,665,1107,0,50240,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,179,8,46,119,50,8,2.759,4,9,2.636,709,18,29,1562,56933,171,37,0,729,1215,0,54865,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,200,0,35,117,57,0,2.667,5,11,2.899,768,18,22,1687,62003,187,42,0,797,1317,0,59789,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,163,7,41,141,54,7,2.803,5,11,3.095,823,18,30,1811,67153,200,48,0,854,1394,0,64774,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,190,7,38,117,46,7,2.83,5,12,3.4,883,19,26,1936,72091,211,50,0,935,1513,0,69543,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,196,6,40,110,50,6,2.607,4,10,2.944,943,20,30,2062,76720,231,50,0,1003,1614,0,74009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,204,1,22,125,56,1,2.544,4,10,2.817,1004,21,25,2193,81912,242,51,0,1065,1709,0,79053,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,183,5,40,124,63,5,2.368,4,9,2.51,1076,23,22,2313,87137,264,56,0,1132,1805,0,84094,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,179,6,40,127,66,6,2.278,4,9,2.355,1148,25,19,2442,92900,275,58,0,1202,1897,0,89692,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,174,5,31,142,68,5,2.342,4,9,2.419,1212,27,32,2573,98953,304,61,0,1269,1971,0,95600,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,197,4,44,107,57,4,2.426,4,10,2.659,1281,27,36,2696,104471,319,67,0,1353,2077,0,100955,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,212,2,34,104,53,2,2.509,4,8,2.541,1346,27,33,2822,109141,333,69,0,1427,2179,0,105467,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,183,3,42,124,63,3,2.5,4,8,2.733,1413,27,28,2954,114542,351,75,0,1486,2267,0,110704,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,196,5,37,114,59,5,2.313,4,8,2.466,1474,28,31,3072,120074,370,77,0,1551,2363,0,116088,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,223,5,30,94,46,4,2.4,7,9,2.346,1546,29,32,3204,125312,383,83,0,1639,2473,0,121159,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,207,5,34,106,54,4,2.328,6,9,2.405,1610,29,30,3327,130233,397,87,0,1697,2556,0,125927,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,218,2,40,92,53,2,2.4,4,10,2.655,1684,29,29,3458,135412,412,89,0,1778,2656,0,130936,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,206,2,35,109,55,2,2.526,4,11,2.709,1753,30,21,3593,140207,431,93,0,1847,2741,0,135567,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,206,7,38,100,50,7,2.386,4,9,1.883,1822,31,23,3723,145470,445,95,0,1921,2850,0,140646,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,188,7,34,123,59,7,2.348,4,9,1.626,1888,31,27,3849,151179,462,97,0,1979,2931,0,146201,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,200,7,45,100,50,7,2.474,4,9,2.077,1957,31,20,3979,156094,479,99,0,2060,3042,0,150936,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,183,5,43,121,60,5,2.477,4,6,1.918,2023,31,24,4108,161447,494,104,0,2120,3131,0,156127,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,182,4,50,116,61,4,2.508,4,9,2.119,2092,31,30,4233,166703,507,109,0,2192,3236,0,161208,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,177,7,49,119,57,7,2.563,5,11,2.443,2161,31,18,4375,171755,522,112,0,2270,3334,0,166085,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,168,6,44,134,61,5,2.682,5,10,2.489,2225,31,32,4499,177083,539,114,0,2336,3426,0,171244,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,206,2,32,112,53,2,2.582,4,8,2.356,2286,31,27,4626,182565,553,119,0,2416,3545,0,176569,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,205,5,32,110,50,5,2.509,4,7,1.997,2361,31,25,4775,187737,568,122,0,2500,3662,0,181543,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,187,9,34,122,48,8,2.661,4,9,2.454,2412,31,30,4884,193053,585,126,0,2554,3730,0,186722,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820000,188,6,41,117,48,6,2.833,5,9,2.635,2472,33,25,5001,197781,604,128,0,2617,3828,0,191289,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840000,163,7,40,142,54,7,2.852,5,9,2.676,2526,34,26,5120,202840,616,131,0,2668,3917,0,196186,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860000,172,6,41,133,46,6,3.212,5,8,2.898,2572,34,30,5244,207704,631,133,0,2731,4018,0,200895,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880000,195,10,40,107,36,9,3.111,5,11,2.869,2623,34,30,5354,212471,642,136,0,2797,4137,0,205500,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
