t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,303,2,17,30,9,2,3.727,6,6,2.482,17,2,31,43,916,3,0,0,11,25,0,851,4,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0
40000,232,5,32,83,25,4,3.586,6,6,2.404,55,4,27,143,3566,11,1,0,35,67,0,3367,5,0,95,0,0,0,0,0,0,0,20,0,0,0,0,0
60000,215,2,49,86,33,2,3.686,7,10,3.014,92,5,21,225,6445,19,3,0,74,155,0,6104,5,0,147,0,0,0,0,0,0,0,15,0,0,0,0,0
80000,205,6,41,100,30,6,3.806,6,12,3.324,133,7,16,345,9669,22,4,0,123,268,0,9156,5,0,242,0,0,0,0,0,0,0,19,0,0,0,0,0
100000,207,5,39,101,34,4,3.605,6,12,3.247,177,9,30,467,13441,36,6,0,172,386,0,12765,5,0,352,0,0,0,0,0,0,0,22,0,0,0,0,0
120000,213,7,47,85,31,6,3.405,7,13,3.16,232,9,21,604,16983,44,11,0,235,521,0,16119,6,0,461,0,0,0,0,0,0,0,14,0,0,0,0,0
140000,242,5,35,70,26,5,3.226,6,8,2.669,274,10,26,698,20539,47,13,0,291,633,0,19537,7,0,532,0,0,0,0,0,0,0,13,0,0,0,0,0
160000,246,4,34,68,33,4,2.676,5,8,2.174,321,11,11,786,24149,55,19,0,339,720,0,23017,7,0,579,0,0,0,0,0,0,0,7,0,0,0,0,0
180000,225,5,52,70,37,5,2.833,6,9,2.324,369,13,9,880,27720,61,25,0,388,792,0,26447,7,0,638,0,0,0,0,0,0,0,4,0,0,0,0,0
200000,251,3,42,56,30,3,2.97,5,7,2.368,407,14,16,946,31041,66,29,0,440,872,0,29669,9,0,676,0,0,0,0,0,0,0,4,0,0,0,0,0
220000,237,5,41,69,34,5,2.769,5,8,2.639,442,15,20,1014,34702,78,30,0,473,930,0,33226,9,0,721,0,0,0,0,0,0,0,6,0,0,0,0,0
240000,226,5,49,72,36,5,2.854,5,11,3.069,489,16,10,1099,37633,92,33,0,524,1017,0,36010,10,0,767,0,0,0,0,0,0,0,7,0,0,0,0,0
260000,200,8,61,83,40,7,3,5,11,3.131,542,17,17,1191,40964,99,35,0,577,1099,0,39185,12,0,827,0,0,0,0,0,0,0,10,0,0,0,0,0
280000,232,3,49,68,36,3,2.923,5,10,3.094,584,17,19,1268,44481,114,38,0,632,1197,0,42582,12,0,870,0,0,0,0,0,0,0,8,0,0,0,0,0
300000,243,1,36,72,37,1,2.842,5,9,2.858,631,17,17,1358,48150,125,41,0,686,1285,0,46118,12,0,925,0,0,0,0,0,0,0,6,0,0,0,0,0
320000,210,5,43,94,46,5,2.647,5,10,2.793,677,17,22,1434,52098,144,43,0,723,1342,0,49942,13,0,966,0,0,0,0,0,0,0,9,0,0,0,0,0
340000,220,3,48,81,45,3,2.625,4,9,2.84,729,18,12,1524,56431,159,44,0,782,1428,0,54141,14,0,1014,0,0,0,0,0,0,0,6,0,0,0,0,0
360000,236,7,34,75,34,7,2.585,4,9,2.605,775,18,23,1612,60367,175,45,0,840,1508,0,57953,14,0,1080,0,0,0,0,0,0,0,10,0,0,0,0,0
380000,209,9,45,89,41,9,2.6,4,9,2.427,830,20,18,1713,64588,186,47,0,892,1583,0,62018,14,0,1141,0,0,0,0,0,0,0,9,0,0,0,0,0
400000,200,5,53,94,51,5,2.554,4,7,2.184,887,21,14,1821,68641,202,49,0,947,1670,0,65918,14,0,1218,0,0,0,0,0,0,0,13,0,0,0,0,0
420000,225,3,43,81,48,3,2.412,3,7,2.087,941,22,18,1900,73130,218,50,0,1013,1757,0,70277,14,0,1272,0,0,0,0,0,0,0,8,0,0,0,0,0
440000,201,3,55,93,61,3,2.281,4,9,2.101,1012,22,9,1997,77841,233,56,0,1077,1844,0,74823,16,0,1324,0,0,0,0,0,0,0,3,0,0,0,0,0
460000,226,4,53,69,53,4,2.123,3,6,1.55,1069,23,8,2052,82343,246,59,0,1144,1930,0,79200,16,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,262,3,44,43,37,3,2.175,3,7,1.728,1114,23,4,2093,85926,253,62,0,1208,2003,0,82689,18,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,267,2,40,43,35,2,2.189,3,5,1.609,1158,24,1,2137,89210,260,62,0,1255,2055,0,85878,18,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,299,0,29,24,25,0,2.12,3,4,1.32,1194,24,4,2178,91638,263,62,0,1303,2112,0,88233,19,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,311,0,19,22,19,0,2.158,3,3,1.087,1211,25,15,2202,93377,266,62,0,1326,2137,0,89935,19,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,301,1,23,27,22,1,2.13,3,4,0.927,1241,25,10,2239,95491,271,65,0,1353,2170,0,91982,20,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,301,0,29,22,22,0,2.318,4,5,1.881,1275,25,11,2275,97362,277,68,0,1387,2207,0,93781,20,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,305,1,22,24,18,1,2.421,4,4,1.578,1303,25,15,2314,99144,285,69,0,1420,2248,0,95502,24,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,302,3,21,26,14,3,2.647,4,4,1.52,1326,25,18,2351,100727,290,70,0,1447,2282,0,97026,26,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,278,5,29,40,22,5,2.481,3,5,2.049,1363,25,12,2394,102620,299,70,0,1476,2323,0,98829,28,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,277,2,34,39,27,2,2.517,4,7,2.359,1400,25,8,2434,104991,307,73,0,1514,2375,0,101116,30,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,264,2,48,38,35,2,2.297,4,7,2.221,1446,26,4,2479,107163,315,74,0,1555,2422,0,103186,30,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,258,3,55,36,36,3,2.333,4,7,2.132,1481,26,10,2515,109805,322,76,0,1591,2458,0,105747,30,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,272,1,44,35,32,1,2.364,3,5,2.109,1522,27,9,2565,112090,328,78,0,1642,2517,0,107938,32,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,270,1,41,40,30,1,2.613,4,7,2.241,1557,27,15,2604,114554,337,80,0,1682,2566,0,110317,34,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,246,2,65,39,37,2,2.615,4,8,2.569,1603,29,9,2645,116745,342,82,0,1723,2625,0,112387,35,0,1353,0,0,0,0,0,0,0,1,0,0,0,0,0
780000,260,5,43,44,31,5,2.306,4,6,2.202,1637,31,9,2700,119542,350,85,0,1763,2680,0,115104,36,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,267,4,46,35,26,4,2.6,4,7,2.393,1668,31,12,2738,121961,356,87,0,1804,2725,0,117444,36,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
820000,273,1,42,36,31,1,2.438,5,7,2.176,1709,31,5,2790,124577,364,89,0,1848,2782,0,119973,39,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
840000,264,2,44,42,32,2,2.471,4,7,2.228,1739,31,8,2825,127050,377,91,0,1877,2822,0,122372,41,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
860000,280,3,39,30,23,3,2.615,4,6,2.223,1776,32,7,2867,129598,380,93,0,1924,2888,0,124827,42,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
880000,284,1,38,29,24,1,2.64,4,6,1.901,1806,32,4,2907,131545,386,95,0,1958,2941,0,126695,43,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
900000,273,3,44,32,25,3,2.643,4,6,2.038,1836,32,6,2941,133393,391,97,0,1993,2987,0,128459,46,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
920000,285,1,34,32,25,1,2.538,3,3,1.296,1863,32,13,2977,135552,397,97,0,2025,3032,0,130556,48,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
940000,298,2,25,27,17,2,2.684,3,2,0.9,1889,32,10,3016,137609,401,97,0,2060,3074,0,132547,49,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
960000,288,6,26,32,16,6,2.5,4,5,1.653,1916,32,12,3050,139742,410,101,0,2089,3110,0,134617,53,0,1357,0,0,0,0,0,0,0,1,0,0,0,0,0
980000,280,2,26,44,24,2,2.654,4,6,1.872,1946,32,10,3099,142199,419,103,0,2118,3143,0,137005,54,0,1365,0,0,0,0,0,0,0,2,0,0,0,0,0
