t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,112,11,1,76,4,8,5,6,3,1.252,12,3,31,81,1182,4,0,295,7,11,0,1092,2,0,63,0,0,9,0,0,0,0,12,0,111,282,0,0
40000,104,8,3,85,7,7,5,6,4,1.778,30,5,33,177,3538,15,1,666,32,75,0,3351,2,0,154,0,3,7,18,5,2,0,14,1,160,617,0,0
60000,88,9,0,103,15,8,4,6,8,2.703,62,7,34,307,6495,21,4,891,65,154,0,6179,2,0,283,0,3,8,12,3,5,0,13,2,161,823,0,0
80000,74,7,1,118,25,7,3.438,6,10,2.874,94,9,33,425,9372,29,7,1093,96,227,0,8941,2,0,392,0,4,14,21,8,11,1,13,3,169,1014,0,0
100000,53,8,2,137,28,8,3.639,6,8,2.671,125,11,33,538,12558,33,7,1365,131,290,0,12007,2,0,499,0,3,14,23,2,11,2,16,2,219,1257,0,0
120000,66,5,2,127,26,5,3.806,6,8,2.603,148,11,37,633,15498,37,8,1638,163,363,0,14856,2,0,598,0,3,12,28,4,20,1,17,3,221,1487,0,0
140000,82,7,2,109,25,5,3.567,6,7,2.113,182,12,38,760,18788,45,8,1815,208,463,0,18017,2,0,721,0,5,11,21,5,9,1,19,2,209,1641,0,0
160000,88,5,2,105,22,5,3.667,5,6,1.884,207,13,37,854,22184,57,8,2057,239,530,0,21318,2,0,813,0,6,13,42,5,21,5,21,4,239,1850,0,0
180000,75,8,2,115,23,8,3.419,5,4,1.67,242,14,35,974,25491,67,8,2203,274,605,0,24502,2,0,930,0,3,15,14,3,8,1,21,2,206,1973,0,0
200000,81,7,2,110,26,7,3.121,5,8,2.255,278,14,36,1094,28920,75,9,2459,316,689,0,27812,2,0,1046,0,6,6,43,9,27,7,17,5,212,2196,0,0
220000,102,3,0,95,30,3,2.788,5,7,2.129,305,14,37,1176,32609,81,9,2671,347,754,0,31424,2,0,1125,0,6,6,40,9,23,4,10,3,194,2386,0,0
240000,133,3,1,63,17,3,3.05,5,6,2.19,330,14,39,1247,35547,87,9,2781,389,816,0,34283,2,0,1194,0,7,1,70,15,25,5,8,5,176,2483,0,0
260000,95,2,0,103,35,2,2.649,5,6,2.185,363,16,34,1342,38742,95,9,2963,409,850,0,37384,2,0,1278,0,3,7,31,3,18,1,12,3,152,2649,0,0
280000,103,4,0,93,32,4,2.472,4,5,1.941,398,18,35,1439,42503,104,9,3170,453,913,0,41046,2,0,1371,0,6,4,38,7,15,2,11,5,186,2841,0,0
300000,107,1,2,90,37,1,2.395,4,6,1.989,438,19,39,1537,46164,113,10,3331,496,970,0,44609,3,0,1469,0,3,6,19,1,2,0,10,1,153,2983,0,0
320000,102,2,0,96,35,2,2.595,3,4,1.39,470,21,37,1623,49973,123,10,3437,531,1013,0,48331,3,0,1553,0,4,0,27,5,9,1,19,2,100,3067,0,0
340000,100,5,0,95,27,5,2.781,4,3,0.999,494,22,39,1702,53365,130,12,3438,565,1059,0,51643,3,0,1633,0,4,0,21,4,3,1,25,1,100,3067,0,0
360000,74,2,0,124,40,2,2.929,4,5,1.612,532,23,40,1808,56179,135,13,3450,597,1104,0,54355,3,0,1740,0,2,2,8,3,0,0,31,0,60,3073,0,0
380000,100,5,1,94,29,5,2.706,4,4,1.455,565,24,40,1898,59467,149,13,3466,640,1180,0,57548,3,0,1829,0,2,0,13,1,5,0,20,2,48,3089,0,0
400000,101,4,0,95,30,4,2.735,4,4,1.65,596,25,37,1989,62495,157,13,3466,677,1233,0,60487,3,0,1916,0,2,0,8,6,0,0,17,0,48,3089,0,0
420000,120,4,2,74,23,4,2.741,4,4,1.862,626,26,39,2075,65628,162,13,3466,718,1299,0,63532,3,0,2003,0,2,0,8,3,2,0,12,1,48,3089,0,0
440000,100,6,1,93,26,5,2.903,4,5,2.048,654,28,37,2163,68770,166,14,3489,746,1343,0,66581,3,0,2088,0,2,0,12,3,0,0,13,0,47,3110,0,0
460000,91,5,2,101,33,5,2.632,4,6,2.326,699,30,36,2286,71926,171,15,3489,791,1419,0,69606,3,0,2208,0,2,0,6,3,2,0,11,1,47,3110,0,0
480000,81,2,0,117,45,2,2.489,4,6,2.17,750,33,36,2415,75368,181,15,3489,834,1488,0,72923,3,0,2332,0,2,0,8,3,0,0,8,0,47,3110,0,0
500000,128,2,4,66,25,2,2.556,4,6,2.185,781,34,33,2495,78724,188,17,3489,887,1564,0,76197,3,0,2406,0,2,0,8,2,0,0,5,0,47,3110,0,0
520000,119,2,1,78,29,2,2.452,4,5,1.903,822,34,24,2602,81789,193,17,3489,926,1620,0,79157,3,0,2499,0,2,0,9,2,0,0,3,0,47,3110,0,0
540000,116,1,0,83,31,1,2.594,5,7,2.195,862,35,29,2703,85167,203,20,3517,966,1677,0,82436,3,0,2598,0,2,3,11,5,2,0,7,1,78,3141,0,0
560000,102,4,2,92,33,4,2.514,5,6,1.575,900,35,35,2793,88724,211,21,3652,1003,1721,0,85899,3,0,2691,0,2,3,10,2,0,0,5,0,101,3265,0,0
580000,103,2,1,94,35,2,2.514,5,8,1.939,934,37,37,2887,92422,220,22,3769,1046,1768,0,89506,3,0,2784,0,1,7,10,3,3,1,9,1,63,3369,0,0
600000,121,1,2,76,33,1,2.235,5,6,1.415,978,38,26,2986,95973,227,24,3886,1095,1837,0,92957,4,0,2866,0,2,2,11,1,2,0,2,1,67,3482,0,0
620000,114,4,2,80,34,4,2.158,4,6,0.985,1025,38,22,3091,99633,236,24,4039,1141,1892,0,96506,4,0,2946,0,5,1,45,6,10,0,1,4,132,3632,0,0
640000,125,1,13,61,34,1,2.114,3,3,0.818,1064,39,1,3156,103462,244,24,4074,1184,1940,0,100253,4,0,2972,0,3,0,29,6,7,0,0,2,80,3663,0,0
660000,138,5,10,47,21,5,2.154,3,3,0.991,1089,40,3,3192,106190,250,24,4074,1218,1975,0,102925,5,0,2972,0,3,0,26,4,6,0,0,1,80,3663,0,0
680000,142,3,17,38,21,3,2.292,3,3,1.428,1118,42,0,3239,108527,252,25,4074,1250,2016,0,105196,6,0,2972,0,2,0,16,2,0,0,0,0,49,3663,0,0
700000,171,0,6,23,14,0,2.071,3,2,0.371,1134,42,1,3271,110067,253,26,4074,1278,2051,0,106703,6,0,2972,0,2,0,9,2,0,0,0,0,49,3663,0,0
720000,168,0,7,25,15,0,2.133,4,2,0.353,1156,44,0,3305,111740,257,27,4074,1299,2073,0,108329,6,0,2972,0,2,0,6,0,0,0,0,0,49,3663,0,0
740000,151,0,10,39,22,0,2.227,4,3,0.832,1178,45,1,3346,113403,262,27,4074,1315,2090,0,109942,6,0,2972,0,2,0,15,3,5,0,0,1,49,3663,0,0
760000,150,0,6,44,24,0,2.083,3,2,0.414,1206,46,1,3384,115620,268,27,4074,1342,2123,0,112100,7,0,2972,0,2,0,15,0,4,0,0,1,49,3663,0,0
780000,166,0,9,25,16,0,2.125,3,2,0.544,1230,46,0,3422,117600,274,28,4074,1374,2160,0,114028,7,0,2972,0,2,0,8,1,2,0,0,1,49,3663,0,0
800000,175,1,1,23,8,1,2.444,4,2,0.764,1247,48,5,3459,119017,278,29,4074,1398,2189,0,115404,8,0,2972,0,2,0,11,3,0,0,0,0,49,3663,0,0
820000,147,1,20,32,23,1,2.167,4,4,1.418,1281,48,0,3504,120582,280,29,4074,1419,2216,0,116895,9,0,2972,0,2,0,15,6,0,0,0,0,49,3663,0,0
840000,158,0,7,35,17,0,2.471,4,3,1.383,1296,49,6,3548,122445,286,29,4074,1441,2242,0,118721,9,0,2972,0,2,0,14,5,0,0,0,0,49,3663,0,0
860000,162,0,9,29,17,0,2.235,4,3,0.834,1322,50,1,3598,124427,289,29,4074,1467,2282,0,120641,9,0,2972,0,2,0,18,3,0,0,0,0,49,3663,0,0
880000,145,3,3,49,19,3,2.364,4,5,1.369,1344,52,17,3648,126471,298,31,4074,1484,2301,0,122634,9,0,3009,0,2,0,15,0,0,0,4,0,49,3663,0,0
900000,97,3,2,98,33,3,2.694,4,6,1.904,1381,55,36,3757,129687,302,32,4074,1510,2335,0,125743,9,0,3123,0,2,0,10,4,2,0,6,1,49,3663,0,0
920000,103,3,1,93,36,3,2.333,4,5,1.363,1424,55,27,3869,133054,312,35,4082,1552,2409,0,129001,9,0,3225,0,2,0,9,4,0,0,4,0,49,3672,0,0
940000,105,1,2,92,39,1,2.35,4,5,1.386,1462,55,31,3955,136706,316,36,4133,1592,2457,0,132568,9,0,3302,0,3,0,26,6,16,1,2,3,73,3722,0,0
960000,117,4,3,76,28,4,2.469,3,5,2.043,1499,55,15,4049,140071,324,38,4133,1640,2520,0,135834,9,0,3359,0,3,0,11,6,0,0,0,0,73,3722,0,0
980000,126,3,4,67,27,3,2.367,3,5,1.938,1532,56,2,4116,143305,336,38,4133,1675,2569,0,138992,9,0,3359,0,3,0,13,4,2,0,0,1,73,3722,0,0
1000000,134,1,12,53,26,1,2.37,3,4,1.354,1562,57,2,4159,145896,343,38,4136,1708,2613,0,141512,9,0,3359,0,2,0,14,5,2,0,0,1,47,3722,0,0
