t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,154,3,2,41,5,2,5.286,6,4,1.664,8,3,33,51,803,2,0,167,7,16,0,746,0,0,41,0,0,9,0,0,0,0,5,0,69,167,0,0
40000,148,2,1,49,9,2,4.273,6,3,1.539,25,5,30,130,2347,6,0,427,25,71,0,2208,0,0,110,0,0,3,0,0,0,0,4,0,46,409,0,0
60000,89,7,3,101,18,6,3.958,6,6,2.063,58,7,10,256,4617,11,1,651,49,126,0,4341,1,0,192,0,0,6,0,0,0,0,6,0,88,618,0,0
80000,91,6,1,102,22,4,3.808,6,5,1.429,81,7,17,348,7579,17,1,835,76,193,0,7210,2,0,263,0,3,1,23,3,11,2,3,2,94,785,0,0
100000,88,4,12,96,25,4,3.483,5,6,1.85,106,10,5,431,10748,26,1,939,111,253,0,10278,2,0,307,0,3,2,13,3,7,1,2,2,100,882,0,0
120000,83,6,23,88,23,6,3.621,5,5,1.565,139,12,1,527,13634,31,2,983,149,334,0,13038,2,0,363,0,6,1,28,7,7,1,1,2,136,925,0,0
140000,81,11,9,99,21,8,3.552,4,6,1.949,163,13,4,618,16632,41,5,1051,177,399,0,15942,2,0,427,0,6,3,40,10,17,1,2,4,149,989,0,0
160000,97,3,26,74,25,3,3.536,4,5,1.6,190,13,1,675,19532,43,5,1053,211,470,0,18752,2,0,444,0,6,0,24,4,5,0,0,2,135,991,0,0
180000,112,5,35,48,21,4,3.2,5,6,2.179,211,13,0,710,21924,48,6,1075,237,534,0,21067,2,0,444,0,4,1,16,5,2,0,0,1,105,1011,0,0
200000,139,5,22,34,12,5,3.118,4,4,1.713,232,13,0,755,23871,53,8,1080,271,601,0,22941,2,0,444,0,4,0,12,4,1,0,0,0,80,1012,0,0
220000,132,1,27,40,22,1,2.913,4,4,1.826,257,13,0,786,25702,54,9,1082,296,641,0,24701,2,0,444,0,4,0,6,2,0,0,0,0,80,1015,0,0
240000,140,4,21,35,14,3,3.235,5,4,1.609,280,13,0,828,27466,58,10,1084,325,688,0,26398,2,0,444,0,3,1,14,4,2,0,0,1,65,1015,0,0
260000,137,5,19,39,14,4,3.167,5,5,1.989,296,14,1,864,29216,61,10,1087,344,719,0,28094,2,0,444,0,0,0,0,0,0,0,0,0,0,1015,0,0
280000,147,2,12,39,14,2,3.063,4,4,1.703,314,15,3,911,30937,68,11,1087,366,765,0,29758,2,0,444,0,0,0,0,0,0,0,0,0,0,1015,0,0
300000,137,2,20,41,18,2,2.95,4,4,1.785,337,15,1,956,32719,72,11,1087,387,804,0,31468,2,0,444,0,0,0,0,0,0,0,0,0,0,1015,0,0
320000,132,2,1,65,20,2,2.909,5,6,2.281,365,17,27,1057,35282,77,13,1087,418,858,0,33943,2,0,538,0,0,0,0,0,0,0,3,0,0,1015,0,0
