t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,114,10,3,73,2,9,5.364,6,3,1.241,12,3,28,86,1187,1,0,98,6,19,0,1086,0,0,67,0,0,9,0,0,0,0,11,0,60,112,0,0
40000,76,8,3,113,12,6,5.111,7,4,1.5,33,6,37,191,3358,5,1,294,26,66,0,3152,0,0,176,0,1,10,20,2,14,2,19,1,143,320,0,0
60000,84,8,4,104,16,6,4.136,6,6,2.435,53,8,35,283,6161,10,1,446,54,139,0,5862,0,0,265,0,1,10,8,1,0,0,18,0,118,478,0,0
80000,68,9,0,123,18,8,4.192,6,7,2.483,79,9,39,403,8760,19,1,616,87,206,0,8342,0,0,387,0,3,13,19,4,9,1,24,1,171,654,0,0
100000,71,7,2,120,18,6,4.5,7,11,3.101,96,9,40,485,11334,30,3,761,113,265,0,10836,0,0,469,0,1,17,2,0,0,0,24,0,131,799,0,0
120000,83,6,1,110,21,5,4,6,9,2.719,119,9,39,574,14064,34,5,990,144,336,0,13476,0,0,556,0,1,12,7,1,5,1,20,1,158,1028,0,0
140000,103,5,1,91,18,3,3.714,6,7,2.468,142,10,37,679,16892,41,5,1158,182,424,0,16194,0,0,653,0,1,10,6,0,4,1,14,1,114,1195,0,0
160000,86,8,1,105,17,8,3.88,6,7,2.549,175,11,38,795,19848,45,6,1324,218,489,0,19031,0,0,765,0,1,12,0,0,0,0,16,0,149,1369,0,0
180000,91,5,0,104,20,4,4.25,6,7,2.575,198,12,40,882,22635,53,6,1502,247,548,0,21734,0,0,853,0,0,20,0,0,0,0,17,0,160,1550,0,0
200000,79,9,0,112,15,8,4.522,6,10,2.941,217,12,35,991,25249,57,7,1716,278,617,0,24234,0,0,955,0,0,19,0,0,0,0,17,0,135,1760,0,0
