t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,395,1,0,4,0,1,3,3,1,0,1,1,299,4,6,1,1,0,1,0,0,4,0
10000,386,3,0,11,2,3,2.2,3,2,0.722,10,5,299,21,25,1,2,0,6,0,0,5,0
15000,385,3,0,12,1,3,2.75,3,2,0.811,15,7,296,35,45,1,3,0,9,0,0,9,0
20000,381,5,0,14,1,5,2.167,3,2,0.65,34,10,295,77,98,1,3,2,15,0,0,28,0
25000,369,7,0,24,4,7,2.091,3,3,0.866,53,13,290,112,146,3,3,3,17,0,0,40,0
30000,344,14,5,37,7,14,2,2,2,0.276,97,15,293,194,261,6,4,3,27,0,0,66,0
35000,329,17,4,50,10,17,2,2,2,0.381,155,18,289,311,414,11,7,3,45,0,0,102,0
40000,319,16,5,60,16,16,2.031,3,3,0.4,208,19,280,416,546,13,11,3,57,0,0,141,0
45000,363,9,2,26,5,9,2,2,3,0.735,254,20,295,499,671,20,13,3,74,0,0,188,0
50000,374,6,2,18,4,6,2,2,1,0,284,22,297,554,751,21,15,3,84,0,0,213,0
55000,371,7,2,20,4,7,2,2,2,0.439,313,24,298,609,820,23,17,3,91,0,0,236,0
60000,367,9,0,24,3,9,2,2,1,0,342,27,294,669,894,24,18,3,101,0,0,256,0
65000,354,10,4,32,8,10,2,2,1,0,376,31,289,726,978,24,18,3,107,0,0,278,0
70000,327,17,3,53,11,17,2,2,1,0,426,33,287,826,1112,26,23,3,123,0,0,308,0
75000,308,24,3,65,10,24,2,2,2,0.523,496,34,288,960,1291,31,26,3,146,0,0,351,0
80000,318,18,6,58,13,18,2,2,2,0.345,562,34,294,1085,1459,33,29,3,174,0,0,393,0
85000,308,21,6,65,14,20,2.059,4,2,0.191,631,34,286,1212,1639,34,30,4,194,0,0,438,0
