t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
10000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
15000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
20000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
25000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
30000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
35000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
40000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
45000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
50000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
55000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
60000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
65000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
70000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
75000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
80000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
85000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
90000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
95000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
100000,400,0,0,0,0,0,0,0,0,0,2,1,300,3,5,0,1,0,0,0,0,7,0
