t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,393,2,0,5,0,1,4,4,1,0,0,0,300,1,3,1,0,0,1,0,0,1,0
10000,393,1,0,6,0,1,4,4,1,0,0,0,300,5,7,1,0,0,2,0,0,4,0
15000,395,2,0,3,0,1,3,3,1,0,3,1,300,9,15,2,0,0,6,0,0,7,0
20000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
25000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
30000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
35000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
40000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
45000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
50000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
55000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
60000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
65000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
70000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
75000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
80000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
85000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
90000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
95000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
100000,400,0,0,0,0,0,0,0,0,0,4,1,300,9,17,2,0,0,7,0,0,9,0
