t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,130,26,1,643,189,21,2.9,7,21,2.814,229,7,228,671,10491,139,31,0,24,23,9860,20,0,0,0,0,0,0,0,0,0,0,0
20000,47,26,0,727,206,24,3.017,8,25,3.168,285,7,244,858,18533,235,47,0,62,87,17735,22,0,0,0,0,0,0,0,0,0,0,0
30000,64,20,0,716,203,17,3.145,8,29,3.553,316,7,246,967,24279,309,65,0,112,157,23393,22,0,0,0,0,0,0,0,0,0,0,0
40000,77,22,0,701,188,20,3.255,8,34,3.774,351,7,244,1107,31576,415,85,0,165,260,30567,23,0,0,0,0,0,0,0,0,0,0,0
50000,51,24,1,724,187,20,3.353,8,36,3.997,385,7,249,1227,37096,490,102,0,206,316,35980,23,0,0,0,0,0,0,0,0,0,0,0
60000,36,20,0,744,182,18,3.525,9,40,4.223,409,8,245,1340,41983,535,116,0,240,374,40771,23,0,0,0,0,0,0,0,0,0,0,0
70000,43,29,2,726,164,23,3.701,8,40,4.366,437,8,244,1454,46761,598,124,0,284,462,45432,23,0,0,0,0,0,0,0,0,0,0,0
80000,58,31,0,711,154,25,3.737,8,40,4.43,460,8,244,1568,52005,663,131,0,320,555,50567,23,0,0,0,0,0,0,0,0,0,0,0
90000,57,29,0,714,144,23,3.976,9,44,4.688,489,9,240,1714,58498,744,148,0,361,656,56929,23,0,0,0,0,0,0,0,0,0,0,0
100000,63,30,1,706,141,22,4.086,9,46,4.822,516,9,246,1851,63801,811,164,0,397,765,62108,23,0,0,0,0,0,0,0,0,0,0,0
110000,48,27,0,725,142,24,4.09,10,45,4.782,540,9,241,1971,67871,861,177,0,425,838,66073,23,0,0,0,0,0,0,0,0,0,0,0
120000,34,31,0,735,140,24,4.232,10,47,4.925,557,9,247,2057,71737,924,194,0,450,889,69865,23,0,0,0,0,0,0,0,0,0,0,0
130000,49,23,0,728,144,18,4.253,10,47,4.952,579,9,241,2165,75594,965,200,0,483,970,73629,24,0,0,0,0,0,0,0,0,0,0,0
140000,62,23,0,715,138,18,4.263,9,50,5.059,602,9,244,2269,80560,1026,211,0,515,1054,78502,24,0,0,0,0,0,0,0,0,0,0,0
150000,42,29,0,729,136,23,4.296,10,48,5.026,629,9,245,2397,85353,1085,219,0,547,1136,83169,24,0,0,0,0,0,0,0,0,0,0,0
