t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,19,181,1,599,107,175,2.092,5,10,1.547,354,10,283,774,986,29,20,0,0,0,8,119,0,0,0,0,0,0,0,0,0,0
20000,11,196,1,592,93,193,2.042,3,8,1.362,472,11,285,1013,1317,34,24,0,0,0,8,255,0,0,0,0,0,0,0,0,0,0
30000,18,186,0,596,110,183,2.024,3,6,1.125,605,11,285,1284,1648,41,28,0,0,0,8,393,0,0,0,0,0,0,0,0,0,0
40000,19,188,0,593,104,185,2.042,3,6,1.321,732,13,288,1552,1986,48,37,0,0,0,8,530,0,0,0,0,0,0,0,0,0,0
50000,23,188,2,587,105,185,2.028,3,7,1.345,876,15,282,1844,2367,54,39,0,0,0,8,681,0,0,0,0,0,0,0,0,0,0
60000,33,185,2,580,104,184,2.014,3,5,1.248,1024,16,290,2136,2742,63,42,0,0,0,8,835,0,0,0,0,0,0,0,0,0,0
70000,9,178,1,612,124,178,2.017,3,6,1.298,1157,16,284,2411,3074,66,46,0,0,0,8,958,0,0,0,0,0,0,0,0,0,0
80000,10,182,1,607,121,181,2.007,3,5,1.23,1293,17,282,2685,3423,73,48,0,0,0,8,1098,0,0,0,0,0,0,0,0,0,0
90000,21,176,3,600,125,175,2.007,3,4,1.264,1445,17,281,2997,3816,76,55,0,0,0,8,1257,0,0,0,0,0,0,0,0,0,0
100000,8,189,2,601,112,188,2,2,3,1.231,1573,17,293,3260,4155,83,60,0,0,0,8,1388,0,0,0,0,0,0,0,0,0,0
