t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,38,193,3,566,76,167,2.259,6,15,1.752,434,8,270,960,1224,29,22,0,230,0,8,0,0,0,0,0,0,0,0,0,0,0
20000,31,197,3,569,77,168,2.241,6,16,1.935,688,10,277,1510,1890,39,32,0,529,0,8,0,0,0,0,0,0,0,0,0,0,0
30000,36,208,4,552,54,177,2.303,6,15,2.016,941,12,271,2057,2564,53,46,0,832,0,8,0,0,0,0,0,0,0,0,0,0,0
40000,31,193,6,570,77,166,2.288,5,14,2.01,1190,14,270,2597,3200,64,60,0,1118,0,8,0,0,0,0,0,0,0,0,0,0,0
50000,42,193,1,564,79,163,2.244,5,14,1.827,1430,15,272,3125,3832,79,66,0,1410,0,8,0,0,0,0,0,0,0,0,0,0,0
60000,42,197,11,550,73,169,2.223,5,13,1.817,1696,16,266,3701,4543,87,80,0,1741,0,8,0,0,0,0,0,0,0,0,0,0,0
70000,43,207,2,548,70,169,2.23,4,12,1.915,1955,16,281,4269,5223,95,91,0,2049,0,8,0,0,0,0,0,0,0,0,0,0,0
80000,61,207,6,526,63,168,2.216,4,11,1.846,2206,16,268,4830,5893,107,109,0,2369,0,8,0,0,0,0,0,0,0,0,0,0,0
90000,26,204,3,567,81,172,2.198,5,12,1.838,2476,18,270,5406,6579,114,117,0,2664,0,9,0,0,0,0,0,0,0,0,0,0,0
100000,57,198,5,540,74,165,2.218,5,12,1.967,2754,20,264,5996,7303,130,123,0,2994,0,9,0,0,0,0,0,0,0,0,0,0,0
