t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,10,205,2,583,79,183,2.16,6,10,1.485,281,9,295,611,797,25,14,0,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0
20000,2,215,3,580,66,193,2.166,6,11,1.506,311,9,299,676,887,27,16,0,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0
30000,9,215,2,574,62,192,2.185,6,13,1.644,336,9,298,732,954,30,18,0,87,0,0,9,0,0,0,0,0,0,0,0,0,0,0
40000,1,203,0,596,84,179,2.183,6,13,1.618,365,9,299,796,1014,32,18,0,108,0,0,9,0,0,0,0,0,0,0,0,0,0,0
50000,3,199,2,596,86,176,2.187,6,13,1.607,394,9,296,863,1087,35,21,0,143,0,0,9,0,0,0,0,0,0,0,0,0,0,0
60000,3,198,0,599,88,176,2.193,6,13,1.591,431,10,294,940,1180,38,22,0,182,0,0,9,0,0,0,0,0,0,0,0,0,0,0
70000,10,202,1,587,79,178,2.195,6,13,1.642,458,10,296,999,1261,42,23,0,218,0,0,9,0,0,0,0,0,0,0,0,0,0,0
80000,8,194,0,598,89,173,2.221,7,14,1.748,496,10,290,1081,1343,42,26,0,255,0,0,9,0,0,0,0,0,0,0,0,0,0,0
90000,6,191,0,603,89,174,2.247,7,15,1.822,530,10,294,1154,1424,43,28,0,291,0,0,9,0,0,0,0,0,0,0,0,0,0,0
100000,4,208,1,587,63,188,2.271,7,15,1.839,558,10,294,1221,1530,44,32,0,333,0,0,9,0,0,0,0,0,0,0,0,0,0,0
