t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,407,24,3,366,76,20,3.427,8,23,3.817,111,4,270,391,5150,69,19,0,26,0,0,4791,22,0,0,0,0,0,0,0,0,0,0,0
20000,162,35,0,603,116,32,3.696,8,32,4.259,210,6,286,771,13665,179,46,0,127,0,0,12953,27,0,0,0,0,0,0,0,0,0,0,0
30000,101,26,0,673,148,25,3.699,7,38,4.561,263,6,293,982,20543,276,62,0,244,0,0,19644,27,0,0,0,0,0,0,0,0,0,0,0
40000,87,23,0,690,159,20,3.687,8,41,4.608,303,7,288,1141,26272,344,76,0,356,0,0,25231,27,0,0,0,0,0,0,0,0,0,0,0
50000,79,28,0,693,154,25,3.654,8,42,4.569,335,7,294,1286,31407,395,91,0,468,0,0,30230,27,0,0,0,0,0,0,0,0,0,0,0
60000,97,28,2,673,155,24,3.626,8,39,4.531,369,7,296,1410,36779,460,98,0,578,0,0,35483,27,0,0,0,0,0,0,0,0,0,0,0
70000,88,26,0,686,157,23,3.628,8,42,4.517,402,7,296,1550,42485,535,107,0,676,0,0,41064,28,0,0,0,0,0,0,0,0,0,0,0
80000,119,22,0,659,159,19,3.528,8,39,4.418,433,7,294,1678,49000,617,121,0,800,0,0,47467,28,0,0,0,0,0,0,0,0,0,0,0
90000,106,31,1,662,156,29,3.449,8,42,4.384,478,9,289,1834,55774,701,141,0,920,0,0,54094,29,0,0,0,0,0,0,0,0,0,0,0
100000,84,29,0,687,176,26,3.243,8,38,4.282,530,9,294,2026,61403,787,158,0,1052,0,0,59555,31,0,0,0,0,0,0,0,0,0,0,0
110000,99,28,1,672,172,26,3.227,8,36,4.24,564,10,294,2154,67788,851,181,0,1162,0,0,65836,32,0,0,0,0,0,0,0,0,0,0,0
120000,109,20,0,671,179,19,3.313,7,34,4.279,611,11,292,2310,73894,916,195,0,1278,0,0,71810,33,0,0,0,0,0,0,0,0,0,0,0
130000,106,17,3,674,186,16,3.233,8,32,4.045,655,11,294,2462,80336,1004,216,0,1394,0,0,78127,36,0,0,0,0,0,0,0,0,0,0,0
140000,121,26,2,651,167,25,3.203,7,34,4.035,694,11,289,2614,87188,1077,242,0,1526,0,0,84847,37,0,0,0,0,0,0,0,0,0,0,0
150000,104,26,3,667,176,23,3.226,8,38,4.144,752,11,291,2802,94236,1162,261,0,1653,0,0,91729,39,0,0,0,0,0,0,0,0,0,0,0
