t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,14,194,5,587,91,163,2.26,7,12,1.748,323,7,286,723,927,24,14,0,79,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0
20000,6,198,1,595,94,164,2.225,6,13,1.833,423,8,290,945,1185,30,20,0,188,94,0,0,10,0,0,0,0,0,0,0,0,0,0,0
30000,18,184,2,596,101,154,2.243,6,15,1.978,522,8,288,1168,1441,34,23,0,296,154,0,0,10,0,0,0,0,0,0,0,0,0,0,0
40000,15,201,1,583,77,169,2.264,6,15,2.128,603,9,291,1351,1678,35,28,0,394,203,0,0,10,0,0,0,0,0,0,0,0,0,0,0
50000,8,191,0,601,91,160,2.279,6,14,2.179,695,10,293,1551,1903,42,29,0,483,260,0,0,10,0,0,0,0,0,0,0,0,0,0,0
60000,11,197,0,592,90,161,2.259,6,15,2.09,785,11,289,1743,2141,49,30,0,584,322,0,0,10,0,0,0,0,0,0,0,0,0,0,0
70000,15,192,3,590,99,153,2.274,6,16,2.095,883,11,285,1946,2387,53,32,0,689,372,0,0,10,0,0,0,0,0,0,0,0,0,0,0
80000,7,211,1,581,78,171,2.281,6,15,2.078,962,12,291,2122,2615,62,33,0,781,427,0,0,10,0,0,0,0,0,0,0,0,0,0,0
90000,20,201,0,579,86,159,2.269,6,15,2.014,1051,12,285,2318,2843,68,37,0,877,478,0,0,10,0,0,0,0,0,0,0,0,0,0,0
100000,11,208,0,581,76,168,2.27,6,15,2.04,1149,12,295,2540,3112,75,40,0,986,540,0,0,10,0,0,0,0,0,0,0,0,0,0,0
110000,16,194,0,590,87,155,2.306,6,15,2.023,1244,13,288,2762,3363,81,42,0,1092,594,0,0,11,0,0,0,0,0,0,0,0,0,0,0
120000,13,202,0,585,82,158,2.325,7,16,2.088,1330,14,290,2956,3604,84,46,0,1193,648,0,0,11,0,0,0,0,0,0,0,0,0,0,0
130000,13,212,3,572,59,174,2.373,7,16,2.279,1415,14,289,3147,3843,90,51,0,1294,702,0,0,11,0,0,0,0,0,0,0,0,0,0,0
140000,10,213,4,573,69,168,2.316,7,16,2.09,1489,14,294,3310,4047,94,55,0,1377,738,0,0,11,0,0,0,0,0,0,0,0,0,0,0
150000,10,215,3,572,65,172,2.325,7,18,2.1,1569,15,291,3498,4269,98,58,0,1470,796,0,0,11,0,0,0,0,0,0,0,0,0,0,0
