t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,545,19,6,230,44,17,3.393,7,14,3.263,99,4,278,347,4313,46,15,0,53,85,3998,24,0,0,0,0,0,0,0,0,0,0,0
20000,430,25,4,341,81,17,3.204,7,18,3.559,274,8,279,933,14445,175,49,0,226,382,13579,31,0,0,0,0,0,0,0,0,0,0,0
30000,390,32,13,365,72,26,3.418,8,30,4.309,433,9,279,1510,25155,307,82,0,436,726,23716,33,0,0,0,0,0,0,0,0,0,0,0
40000,353,32,10,405,75,29,3.644,8,31,4.417,586,10,272,2116,35072,443,110,0,642,1087,33056,39,0,0,0,0,0,0,0,0,0,0,0
50000,338,30,4,428,88,22,3.518,8,32,4.509,744,12,265,2751,44866,563,143,0,858,1483,42249,42,0,0,0,0,0,0,0,0,0,0,0
60000,363,32,3,402,69,29,3.663,8,30,4.359,897,15,265,3359,54788,704,172,0,1084,1885,51588,47,0,0,0,0,0,0,0,0,0,0,0
70000,388,29,3,380,80,22,3.461,8,31,4.147,1073,16,276,3999,65051,822,206,0,1315,2317,61267,60,0,0,0,0,0,0,0,0,0,0,0
80000,387,22,8,383,93,22,3.2,8,25,3.816,1260,20,270,4634,75966,980,236,0,1536,2726,71574,64,0,0,0,0,0,0,0,0,0,0,0
90000,382,29,3,386,82,28,3.245,10,26,3.85,1442,23,274,5265,87007,1125,269,0,1763,3128,82025,73,0,0,0,0,0,0,0,0,0,0,0
100000,365,27,3,405,87,24,3.423,10,29,4.284,1625,25,276,5903,98008,1257,302,0,1991,3522,92429,84,0,0,0,0,0,0,0,0,0,0,0
110000,335,32,2,431,88,29,3.419,11,30,4.37,1812,25,268,6546,108668,1374,329,0,2226,3910,102463,92,0,0,0,0,0,0,0,0,0,0,0
120000,377,30,4,389,87,26,3.265,6,28,4.14,1989,26,273,7168,118884,1506,364,0,2464,4333,112099,99,0,0,0,0,0,0,0,0,0,0,0
130000,360,35,3,402,73,27,3.72,6,32,4.468,2150,26,266,7791,129803,1622,397,0,2681,4724,122427,107,0,0,0,0,0,0,0,0,0,0,0
140000,372,26,3,399,82,24,3.575,6,30,4.494,2316,26,278,8420,140093,1768,431,0,2899,5149,132140,119,0,0,0,0,0,0,0,0,0,0,0
150000,371,29,4,396,79,26,3.476,6,32,4.367,2472,27,267,9018,150794,1908,458,0,3107,5538,142271,124,0,0,0,0,0,0,0,0,0,0,0
