t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,760,7,0,33,0,4,0,0,0,0,4,2,299,29,22,1,14,3,2
10000,674,22,4,100,1,8,4,4,1,0,12,3,291,118,104,5,42,12,24
15000,530,43,3,224,0,11,0,0,0,0,20,4,291,274,232,9,96,50,58
20000,395,77,3,325,0,13,0,0,0,0,23,4,282,425,376,15,141,92,112
25000,296,74,3,427,1,16,12,12,1,0,29,5,283,588,507,18,180,132,183
30000,216,106,7,471,0,20,0,0,0,0,31,5,289,689,620,27,209,163,245
35000,147,111,5,537,0,20,0,0,0,0,36,5,292,828,720,28,256,216,323
40000,112,118,6,564,4,18,3.75,7,3,1.5,39,5,284,919,792,29,283,239,387
45000,84,118,5,593,3,14,3.333,6,2,0.918,46,7,295,996,851,30,300,273,434
50000,66,128,0,606,0,16,0,0,0,0,47,7,294,1058,903,31,318,284,481
55000,47,131,4,618,0,17,0,0,0,0,47,7,292,1133,962,34,344,308,547
60000,29,132,4,635,0,18,0,0,0,0,48,7,286,1203,1019,39,358,331,600
65000,27,131,0,642,0,19,0,0,0,0,49,7,296,1267,1070,41,366,355,656
70000,26,129,3,642,1,18,10,10,1,0,50,7,296,1332,1126,41,380,385,723
75000,22,124,1,653,0,19,0,0,0,0,51,7,294,1390,1169,43,390,410,772
80000,30,118,1,651,0,18,0,0,0,0,51,7,292,1447,1212,43,400,442,833
85000,28,124,0,648,0,17,0,0,0,0,51,7,296,1500,1266,44,406,475,891
90000,23,127,3,647,0,18,0,0,0,0,52,7,296,1555,1319,46,417,508,950
95000,30,131,2,637,0,18,0,0,0,0,52,7,293,1599,1362,48,423,532,1006
100000,25,131,1,643,0,18,0,0,0,0,53,8,292,1662,1410,49,437,552,1063
105000,27,128,3,642,0,19,0,0,0,0,56,8,291,1733,1467,52,451,585,1135
110000,35,136,2,627,1,19,3,3,1,0,58,8,296,1795,1530,54,459,616,1214
115000,31,140,3,626,0,18,0,0,0,0,61,8,294,1843,1571,55,475,641,1264
120000,32,133,2,633,1,18,2,2,1,0,63,9,296,1905,1617,55,488,671,1321
125000,26,140,2,632,0,16,0,0,0,0,63,9,297,1965,1678,56,500,710,1386
130000,24,145,4,627,0,14,0,0,0,0,65,9,299,1999,1714,58,505,734,1425
135000,23,140,2,635,0,15,0,0,0,0,65,9,294,2048,1751,59,512,755,1468
140000,17,139,1,643,0,15,0,0,0,0,65,9,293,2108,1801,60,523,792,1523
145000,22,139,1,638,1,13,2,2,1,0,66,9,293,2168,1852,63,534,830,1590
150000,31,131,1,637,0,14,0,0,0,0,66,9,293,2220,1888,64,544,846,1644
