t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,763,7,0,30,0,4,0,0,0,0,3,2,298,24,31,0,0,0,0
10000,685,24,5,86,2,11,6,6,1,0,11,4,293,80,109,0,0,0,0
15000,565,40,13,182,6,18,6,6,1,0,20,4,286,176,229,0,0,0,0
20000,410,70,0,320,4,36,6,6,1,0,37,6,290,314,384,0,0,0,0
25000,253,120,6,421,6,49,6,6,1,0,52,7,286,415,541,0,0,0,0
30000,118,144,6,532,4,65,6,6,1,0,63,7,296,526,676,0,0,0,0
35000,47,144,1,608,5,69,6,6,1,0,68,7,294,602,747,0,0,0,0
40000,15,153,0,632,8,69,6,6,1,0,71,7,299,626,779,0,0,0,0
45000,5,154,0,641,7,69,6,6,1,0,72,7,300,635,789,0,0,0,0
50000,1,154,0,645,7,70,6,6,1,0,72,7,300,639,793,0,0,0,0
55000,0,155,0,645,6,69,6,6,1,0,72,7,300,639,794,0,0,0,0
60000,0,152,0,648,7,67,6,6,1,0,72,7,299,642,794,0,0,0,0
65000,0,152,0,648,7,66,6,6,1,0,72,7,300,642,794,0,0,0,0
70000,0,152,0,648,7,64,6,6,1,0,72,7,300,642,794,0,0,0,0
75000,0,152,0,648,7,64,6,6,1,0,72,7,300,642,794,0,0,0,0
80000,0,152,0,648,7,63,6,6,1,0,72,7,300,642,794,0,0,0,0
85000,0,152,0,648,7,63,6,6,1,0,72,7,300,642,794,0,0,0,0
90000,0,150,0,650,7,62,6,6,1,0,72,7,299,644,794,0,0,0,0
95000,0,150,0,650,7,62,6,6,1,0,72,7,300,644,794,0,0,0,0
100000,0,149,0,651,8,61,6,6,1,0,72,7,300,645,794,0,0,0,0
105000,0,149,0,651,8,61,6,6,1,0,72,7,300,645,794,0,0,0,0
110000,0,149,0,651,8,61,6,6,1,0,72,7,300,645,794,0,0,0,0
115000,0,149,0,651,8,61,6,6,1,0,72,7,300,645,794,0,0,0,0
120000,0,149,0,651,8,61,6,6,1,0,72,7,300,645,794,0,0,0,0
125000,0,148,0,652,9,60,6,6,1,0,72,7,300,646,794,0,0,0,0
130000,0,148,0,652,9,60,6,6,1,0,72,7,300,646,794,0,0,0,0
135000,0,148,0,652,9,60,6,6,1,0,72,7,300,646,794,0,0,0,0
140000,0,148,0,652,9,60,6,6,1,0,72,7,300,646,794,0,0,0,0
145000,0,148,0,652,9,60,6,6,1,0,72,7,300,646,794,0,0,0,0
150000,0,148,0,652,9,59,6,6,1,0,72,7,300,646,794,0,0,0,0
