t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,733,11,6,50,0,4,0,0,0,0,2,2,295,44,37,0,24,0,0
10000,631,37,4,128,1,10,5,5,1,0,6,3,294,122,106,0,57,0,0
15000,485,66,4,245,1,16,3,3,1,0,11,4,291,239,196,0,113,0,0
20000,308,104,3,385,2,31,4.5,5,2,1,24,5,282,379,319,0,167,0,0
25000,194,126,2,478,3,40,6.667,9,3,1.585,30,5,292,472,397,0,203,0,0
30000,80,143,0,577,4,49,5.75,8,4,2,39,5,293,571,476,0,238,0,0
35000,29,160,0,611,4,49,5.75,8,4,2,41,5,300,605,509,0,256,0,0
40000,8,161,2,629,8,49,4.625,8,7,2.75,45,6,300,623,525,0,261,0,0
45000,3,160,0,637,10,48,4.2,8,8,2.846,46,6,300,631,527,0,264,0,0
50000,0,161,0,639,9,48,4.444,8,8,2.948,46,6,300,633,530,0,264,0,0
55000,0,161,0,639,9,48,4.444,8,8,2.948,46,6,300,633,530,0,264,0,0
60000,0,161,0,639,9,48,4.444,8,8,2.948,46,6,300,633,530,0,264,0,0
65000,0,160,0,640,9,48,4.444,8,8,2.948,46,6,299,634,530,0,264,0,0
70000,0,160,0,640,9,47,4.444,8,8,2.948,46,6,300,634,530,0,264,0,0
75000,0,160,0,640,9,47,4.444,8,8,2.948,46,6,300,634,530,0,264,0,0
80000,0,159,0,641,10,46,4.4,8,9,3.122,46,6,300,635,530,0,264,0,0
85000,0,159,0,641,10,46,4.4,8,9,3.122,46,6,300,635,530,0,264,0,0
90000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
95000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
100000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
105000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
110000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
115000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
120000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
125000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
130000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
135000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
140000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
145000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
150000,0,158,0,642,11,45,4.364,8,10,3.278,46,6,300,636,530,0,264,0,0
