t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,764,7,2,27,0,4,0,0,0,0,2,2,294,24,33,0,0,0,3
10000,676,30,1,93,2,17,3.5,5,2,1,15,4,286,106,142,0,0,0,24
15000,538,64,16,182,14,41,2.571,3,4,1.809,82,7,284,293,398,0,0,0,106
20000,347,112,24,317,40,72,2.275,4,5,1.576,251,10,244,694,948,0,0,0,306
25000,231,157,13,399,35,96,2.171,5,5,1.414,457,14,260,1209,1600,0,0,0,591
30000,199,149,12,440,34,88,2.147,4,6,1.99,609,15,257,1647,2114,0,0,0,851
35000,176,161,10,453,37,86,2.378,4,8,2.517,758,15,266,2066,2602,0,0,0,1127
40000,136,172,13,479,40,86,2.45,6,11,2.381,890,16,259,2448,3054,0,0,0,1366
45000,163,191,3,443,16,80,2.188,4,4,1.186,986,18,275,2738,3406,0,0,0,1589
50000,148,182,6,464,24,71,2.25,4,7,1.752,1068,18,263,3026,3728,0,0,0,1780
55000,155,187,8,450,11,74,2.727,6,7,2.664,1121,19,281,3260,4004,0,0,0,1963
60000,150,193,4,453,11,64,2.182,3,4,1.491,1173,19,282,3461,4249,0,0,0,2109
65000,135,200,6,459,10,62,3.1,8,5,1.771,1234,21,277,3680,4515,0,0,0,2269
70000,120,198,10,472,25,52,2.4,4,6,2.049,1296,22,279,3893,4754,0,0,0,2425
75000,105,201,3,491,18,55,2.222,3,4,1.405,1330,22,281,4081,4961,0,0,0,2560
80000,112,194,3,491,17,50,2.588,5,7,2.372,1374,23,284,4274,5172,0,0,0,2712
85000,97,193,6,504,15,48,3.133,8,8,2.823,1418,25,278,4461,5385,0,0,0,2854
90000,102,197,9,492,12,47,2.333,4,5,1.896,1451,25,290,4612,5563,0,0,0,2987
95000,89,208,4,499,8,48,2.875,5,7,2.75,1480,26,285,4763,5741,0,0,0,3103
100000,104,205,4,487,6,44,2,2,1,0,1499,27,288,4888,5881,0,0,0,3218
105000,87,202,6,505,3,41,2.333,3,3,1.585,1518,29,289,5030,6033,0,0,0,3321
110000,85,204,2,509,2,44,2.5,3,2,1,1530,29,288,5146,6155,0,0,0,3426
115000,94,199,8,499,6,43,3,6,3,1.459,1544,31,292,5250,6270,0,0,0,3525
120000,81,203,6,510,4,46,2.25,3,2,0.811,1560,32,289,5341,6366,0,0,0,3593
125000,85,198,6,511,7,48,2.714,3,3,1.557,1579,33,288,5458,6488,0,0,0,3692
130000,83,200,5,512,11,46,2.364,3,4,1.868,1611,33,289,5583,6625,0,0,0,3795
135000,90,202,6,502,6,42,3,4,5,2.252,1630,35,281,5699,6756,0,0,0,3894
140000,91,208,3,498,3,45,2.333,3,3,1.585,1644,35,292,5802,6864,0,0,0,3987
145000,81,216,5,498,6,44,2.5,4,4,1.918,1660,37,290,5901,6979,0,0,0,4076
150000,91,211,12,486,9,38,3,6,5,1.88,1683,38,287,6031,7123,0,0,0,4199
