t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,751,12,1,36,2,4,3,3,1,0,3,1,296,34,32,0,17,0,6
10000,610,35,11,144,5,22,4,8,5,2.322,29,5,279,192,153,0,94,0,53
15000,349,102,16,333,15,45,3.267,5,10,3.19,72,6,263,500,420,0,225,0,171
20000,151,157,13,479,11,80,2.909,5,7,2.664,134,7,263,894,721,0,389,0,395
25000,67,184,12,537,22,90,2.773,7,10,2.993,201,9,276,1223,992,0,494,0,629
30000,75,208,12,505,14,88,2.286,4,6,2.264,258,10,272,1491,1226,0,592,0,883
35000,61,218,3,518,11,86,2.364,3,6,2.369,306,10,277,1778,1436,0,696,0,1118
40000,62,222,20,496,16,76,2.688,4,8,2.781,346,11,272,1980,1596,0,777,0,1310
45000,72,222,5,501,15,74,2.8,6,9,2.956,381,12,276,2217,1751,0,857,0,1506
50000,66,208,9,517,18,80,2.167,4,5,2.018,435,13,267,2475,1923,0,943,0,1699
55000,76,203,14,507,16,65,2.563,5,7,2.555,477,13,271,2710,2089,0,1038,0,1898
60000,70,204,10,516,20,63,2.6,5,8,2.495,520,14,277,2929,2247,0,1126,0,2077
65000,46,219,5,530,9,75,2.889,7,6,2.503,550,16,281,3158,2422,0,1211,0,2271
70000,41,240,2,517,10,69,2.9,5,6,2.446,577,17,287,3333,2559,0,1283,0,2443
75000,60,217,7,516,15,74,2.267,3,5,1.907,630,20,273,3562,2717,0,1357,0,2639
80000,60,222,9,509,13,73,2.385,5,6,2.288,669,20,281,3773,2883,0,1423,0,2822
85000,62,212,10,516,15,67,2.667,4,9,3.006,707,20,277,3993,3033,0,1502,0,3002
90000,73,206,13,508,19,59,2.895,5,11,3.176,770,22,279,4234,3203,0,1589,0,3200
95000,59,220,3,518,13,70,2.308,3,6,2.2,808,23,274,4459,3374,0,1669,0,3391
100000,69,197,13,521,16,66,2.313,3,6,2.233,852,24,271,4700,3545,0,1743,0,3589
105000,63,205,14,518,16,64,3.313,6,11,3.25,889,25,279,4920,3722,0,1821,0,3781
110000,41,224,7,528,13,68,2.308,4,6,2.288,929,26,273,5139,3892,0,1898,0,3963
115000,54,215,3,528,13,67,2.923,5,8,2.719,963,27,280,5344,4027,0,1966,0,4131
120000,59,205,9,527,11,70,2.727,4,6,2.413,999,28,274,5537,4167,0,2035,0,4298
125000,52,199,8,541,13,68,3.154,5,11,3.393,1039,29,284,5769,4345,0,2108,0,4487
130000,62,208,9,521,17,63,2.882,5,8,2.867,1075,29,284,5959,4488,0,2179,0,4671
135000,51,209,12,528,10,66,3,5,6,2.446,1106,30,279,6152,4643,0,2239,0,4832
140000,58,208,6,528,10,65,3.2,6,8,2.922,1135,32,277,6358,4794,0,2304,0,5010
145000,48,218,6,528,11,67,2.727,4,7,2.664,1167,32,283,6553,4956,0,2363,0,5187
150000,61,215,10,514,11,60,3,4,6,2.55,1204,32,274,6741,5111,0,2423,0,5364
