t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,788,0,1,11,2,0,6,6,2,1,1,1,298,5,6,1,0,0,0
10000,752,5,2,41,3,3,6,6,3,1.585,5,2,298,35,42,4,0,0,0
15000,693,18,3,86,2,9,6,6,2,1,10,3,293,80,101,9,0,0,0
20000,580,45,6,169,1,21,6,6,1,0,20,3,291,163,214,15,0,0,0
25000,463,75,1,261,1,32,6,6,1,0,29,5,295,255,331,25,0,0,0
30000,311,95,4,390,6,45,6,6,3,1.459,48,6,287,384,483,32,0,0,0
35000,181,125,3,491,5,58,6,6,3,1.371,59,7,287,485,613,36,0,0,0
40000,97,151,1,551,4,64,6,6,3,1.5,66,7,294,545,697,45,0,0,0
45000,39,156,0,605,4,65,6,6,3,1.5,70,7,299,599,755,46,0,0,0
50000,11,160,0,629,8,62,6,6,4,1.906,74,7,299,623,783,47,0,0,0
55000,1,159,0,640,10,62,6,6,4,1.571,75,7,299,634,793,47,0,0,0
60000,0,160,0,640,10,59,6,6,4,1.571,75,7,300,634,794,47,0,0,0
65000,0,160,0,640,10,59,6,6,4,1.571,75,7,300,634,794,47,0,0,0
70000,0,160,0,640,10,58,6,6,4,1.571,75,7,300,634,794,47,0,0,0
75000,0,160,0,640,10,58,6,6,4,1.571,75,7,300,634,794,47,0,0,0
80000,0,160,0,640,10,58,6,6,4,1.571,75,7,300,634,794,47,0,0,0
85000,0,159,0,641,10,58,6,6,4,1.571,75,7,299,635,794,47,0,0,0
90000,0,159,0,641,10,58,6,6,4,1.571,75,7,300,635,794,47,0,0,0
95000,0,159,0,641,10,58,6,6,4,1.571,75,7,300,635,794,47,0,0,0
100000,0,159,0,641,10,58,6,6,4,1.571,75,7,300,635,794,47,0,0,0
105000,0,158,0,642,10,58,6,6,4,1.571,75,7,300,636,794,47,0,0,0
110000,0,158,0,642,10,58,6,6,4,1.571,75,7,300,636,794,47,0,0,0
115000,0,158,0,642,10,58,6,6,4,1.571,75,7,300,636,794,47,0,0,0
120000,0,157,0,643,10,57,6,6,4,1.571,75,7,299,637,794,47,0,0,0
125000,0,154,1,645,12,56,5.917,6,6,2.126,76,7,300,639,794,47,0,0,0
130000,0,154,0,646,12,56,5.917,6,6,2.126,76,7,300,640,794,47,0,0,0
135000,0,154,0,646,12,56,5.917,6,6,2.126,76,7,300,640,794,47,0,0,0
140000,0,154,0,646,12,56,5.917,6,6,2.126,76,7,300,640,794,47,0,0,0
145000,0,154,0,646,12,56,5.917,6,6,2.126,76,7,300,640,794,47,0,0,0
150000,0,154,0,646,12,56,5.917,6,6,2.126,76,7,300,640,794,47,0,0,0
